Instrument,Facility,Hemisphere,Status,Operations Start,M1 Aperture [m],FOV [deg2],No. Fibers,Spectral Coverage,IFU,Resolution Modes
SDSS_1+2_Spectrograph,APO,N,Completed,1999,2.5,7.1,640,VIS,No,LOW
SDSS_3+4_BOSS,APO,N,Completed,2009,2.5,7.1,1000,VIS,Yes,LOW
SDSS_3+4_APOGEE,APO,N,Completed,2011,2.5,7.1,300,NIR(H),No,HIGH
SDSS_4_APOGEE,LCO,S,Completed,2017,2.5,3.1,300,NIR(H),No,HIGH
LAMOST,Guoshoujing,N,Current,2012,4,19.6,4000,VIS,No,LOW
HERMES,AAT,S,Current,2014,3.9,3.1,392,VIS,No,HIGH
SDSS_5_APOGEE+BOSS,APO,N,Current,2021,2.5,7.1,500,VIS;NIR(H),No,LOW;HIGH
SDSS_5_APOGEE+BOSS,LCO,S,Current,2021,2.5,3.1,500,"VIS,NIR(H)",No,LOW;HIGH
DESI,KPO,N,Current,2020,4,8,5000,VIS,No,LOW;MED
WEAVE,OOCC,N,Build,2022,4.2,3.1,1000,VIS,Yes,MED;HIGH
MOONS,ESO-Paranal,S,Build,2022,8.2,0.14,1001,VIS;NIR (YJH),No,MED;HIGH
PFS,Subaru,N,Build,2023,8.2,1.3,2400,VIS;NIR (YJ*),No,LOW;MED
4MOST,ESO-Paranal,S,Build,2024,4.1,4.4,1624,VIS,No,MED;HIGH
MegaMapper,LCO,S,Design,2029,6.5,7.1,20000,VIS,No,LOW;MED
FOBOS,Keck,N,Design,2028,10,0.09,1800,VIS,Yes,LOW
MSE-baseline,CFHT,N,Design,2030,11.3,1.5,4332,VIS;NIR(YJH),Possibly,LOW;MED;HIGH
SpecTel/WST,ESO,S,Design,Unknown,11.4,4.9,15000,VIS;NIR(YJ),Yes,MED;HIGH
LSSTspec,VRO,S,Conception,Unknown,8.4,9.6,30000,VIS,Possibly,MED