Instrument,Instr_short,Facility,Hemisphere,Status,Operations_Start,M1_Aperture_m,FOV_deg2,Total_Fiber_Number,Spectral_Coverage,Resolution_Mode,Wavelength_Coverage_Regimes_nm,WL_MIN_nm,WL_MAX_nm,WL_Coverage_Type,Spectral_Resolution_Settings,R_MIN,R_MAX,Collecting_Area_m2,Etendue
SDSS_1+2_Spectrograph,SDSS12,APO,N,Completed,1999,2.5,7.1,640,VIS,LOW,380-615; 580-920,380,920,continuous,1850-2200,1850,2200,3.68,26.13
SDSS_3+4_BOSS,SDSS34_BOSS,APO,N,Completed,2009,2.5,7.1,1000,VIS,LOW,360-1040,360,1040,continuous,1560-2270;1850-2650,1560,2650,3.68,26.13
SDSS_3+4_APOGEE,SDSS34_APOGEE,APO,N,Completed,2011,2.5,7.1,300,NIR(H),HIGH,1510-1700,1510,1700,continuous,22500,22500,22500,3.68,26.13
SDSS_4_APOGEE,SDSS4_APOGEE,LCO,S,Completed,2017,2.5,3.1,300,NIR(H),HIGH,1510-1700,1510,1700,continuous,22500,22500,22500,NaN,NaN
LAMOST,LAMOST,Guoshoujing,N,Current,2012,4,19.6,4000,VIS,LOW,370-900,370,900,continuous,500;1000;1500,500,1500,18.86,369.66
HERMES,HERMES,AAT,S,Current,2014,3.9,3.1,392,VIS,HIGH,471.5-490.0;564.9-587.3;647.8-673.7;758.5-788.7,471.5,788.7,discontinuous,28000,28000,28000,12,37.20
SDSS_5_APOGEE+BOSS,SDSS5_APO,APO,N,Current,2021,2.5,7.1,500,VIS,LOW,360-1040,360,1040,continuous,1560-2270;1850-2650,1560,2650,3.68,26.13
SDSS_5_APOGEE+BOSS,SDSS5_APO,APO,N,Current,2021,2.5,7.1,500,NIR(H),HIGH,1510-1700,1510,1710,continuous,22500,22500,22500,3.68,26.13
SDSS_5_APOGEE+BOSS,SDSS5_LCO,LCO,S,Current,2021,2.5,3.1,500,VIS,LOW,360-1040,360,1040,continuous,1560-2270;1850-2650,1560,2650,NaN,NaN
SDSS_5_APOGEE+BOSS,SDSS5_LCO,LCO,S,Current,2021,2.5,3.1,500,NIR(H),HIGH,1510-1700,1510,1700,continuous,22500,22500,22500,NaN,NaN
DESI,DESI,KPO,N,Current,2020,4,8,5000,VIS,LOW,360-555;555-656,360,656,continuous,2000-3200;3200-4100,2000,4100,9.5,76.00
DESI,DESI,KPO,N,Current,2020,4,8,5000,VIS,MED,656-980,656,980,continuous,4100-5100,4100,5100,9.5,76.00
WEAVE,WEAVE,OOCC,N,Build,2022,4.2,3.1,1000,VIS,MED,366-606;579-959,366,959,continuous,5000,5000,5000,13.8,42.78
WEAVE,WEAVE,OOCC,N,Build,2022,4.2,3.1,1000,VIS,HIGH,404-465;473-545;595-685,404,685,discontinuous,20000,20000,20000,13.8,42.78
MOONS,MOONS,ESO-Paranal,S,Build,2022,8.2,0.14,1001,VIS;NIR(YJH),MED,650-1800,650,1800,continuous,4100;4300;6600,4100,6600,50,7.00
MOONS,MOONS,ESO-Paranal,S,Build,2022,8.2,0.14,1001,VIS;NIR(H),HIGH,760-890;1520-1640,760,1640,discontinuous,9200;18300,9200,18300,50,7.00
PFS,PFS,Subaru,N,Build,2023,8.2,1.3,2400,VIS,LOW,380-650;630-970,380,970,continuous,2300;3000,2300,3000,50,65.00
PFS,PFS,Subaru,N,Build,2023,8.2,1.3,2400,VIS*;NIR(YJ*),MED,710-885;940-1260,710,1260,discontinuous,5000;4300,4300,5000,50,65.00
4MOST,4MOST,ESO-Paranal,S,Build,2024,4.1,4.4,1624,VIS,MED,370-950,370,950,continuous,4000-7700,4000,7700,12,52.80
4MOST,4MOST,ESO-Paranal,S,Build,2024,4.1,4.4,1624,VIS,HIGH,392.6-435.5;516-573;610-679,392.6,679,discontinuous,18000-21000,18000,21000,12,52.80
MegaMapper,MegaMapper,LCO,S,Design,2029,6.5,7.1,20000,VIS,LOW-MED,360-555;555-656;656-980,360,980,continuous,2000-5000,2000,5000,28,198.80
FOBOS,FOBOS,Keck,N,Design,2028,10,0.09,1800,VIS,LOW,310-1000,310,1000,continuous ,3500,3500,3500,76,6.84
MSE-baseline,MSE_base,CFHT,N,Design,2040,11.3,1.5,4332,VIS;NIR(YJH),LOW-MED,360?000;1000-1300;1450-1800,360,1800,continuous,2500-6000,2500,6000,80.8,121.20
MSE-baseline,MSE_base,CFHT,N,Design,2040,11.3,1.5,4332,VIS,HIGH,360-900,360,900,continuous,30000,30000,30000,80.8,121.20
MSE-2M-ReverseCass,MSE_2M_RC,CFHT,N,Design,2040,12.3,1.5,13000,VIS;NIR(YJHK),LOW-MED,330-2400,330,2400,continuous,2500-6000,2500,6000,103.6,155.4
MSE-2M-ReverseCass,MSE_2M_RC,CFHT,N,Design,2040,12.3,1.5,13000,VIS,HIGH,330-900,330,900,continuous,30000,30000,30000,103.6,155.4
MSE-4M-Elevation-Conic,MSE_4M_EC,CFHT,N,Design,2040,12.5,1.5,15200,VIS;NIR(YJHK),LOW-MED,330-2400,330,2400,continuous,2500-6000,2500,6000,96.96,145.4
MSE-4M-Elevation-Conic,MSE_4M_EC,CFHT,N,Design,2040,12.5,1.5,15200,VIS,HIGH,330-900,330,900,continuous,30000,30000,30000,96.96,145.4
SpecTel/WST,SpecTel,ESO,S,Design,Unknown,11.4,4.9,15000,VIS;NIR(YJ),MED,360-1000;965-1330,360,1330,continuous,3000-4000,3000,4000,87.9,430.71
SpecTel/WST,SpecTel,ESO,S,Design,Unknown,11.4,4.9,15000,VIS,HIGH,360-1000,360,1000,continuous,20000-40000,20000,40000,87.9,430.71
LSSTspec,LSSTspec,VRO,S,Conception,Unknown,8.4,9.6,30000,VIS,MED,NaN,NaN,NaN,NaN,NaN,NaN,NaN,35.3,338.88
MOSAIC,MOSAIC,ESO-ELT,S,Conception,Unknown,39.3,0.02,200,VIS;NIR(YJH),MED,450-700;770-1800,450,1800,discontinuous,4000-5000,4000,5000,978,19.56
MOSAIC,MOSAIC,ESO-ELT,S,Conception,Unknown,39.3,0.02,200,VIS;NIR(YJH),HIGH,450-877;770-1800,450,1800,continuous,18000,18000,18000,978,19.56
